"mouse","age","age_months","age_group","sex","tissue","cell_ontology_class","subtissue_original","subtissue","facs_selection","n_cells","median_cell_counts","mean_cell_counts","median_cell_detected_genes","mean_cell_detected_genes","pseudobulk_library_size","pseudobulk_detected_genes","age_sex_group"
"3_38_F","3m",3,"Young","female","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","",77,1075759,1038110.83116883,2691,2707.72727272727,79934534,12876,"female_Young"
"3_39_F","3m",3,"Young","female","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","",53,858643,1251864.30188679,2773,2847.24528301887,66348808,12415,"female_Young"
"3_10_M","3m",3,"Young","male","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","",28,1004269.5,1013579.60714286,3833.5,3855.85714285714,28380229,12456,"male_Young"
"3_11_M","3m",3,"Young","male","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","",14,1331920.5,1243933.35714286,2754.5,2915.71428571429,17415067,10153,"male_Young"
"3_8_M","3m",3,"Young","male","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","",75,1133769,1095152.93333333,3733,3765.76,82136470,14241,"male_Young"
"3_9_M","3m",3,"Young","male","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","",17,390886,564684.588235294,3740,3791.41176470588,9599638,11393,"male_Young"
"18_46_F","18m",18,"Old","female","Limb_Muscle","mesenchymal stem cell","Muscle forelimb and hindlimb","Forelimb_Hindlimb","CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",82,1223338.5,1190762.17073171,2879,2864.24390243902,97642498,13280,"female_Old"
"18_47_F","18m",18,"Old","female","Limb_Muscle","mesenchymal stem cell","Muscle forelimb and hindlimb","Forelimb_Hindlimb","CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",76,1102070.5,1181634.81578947,3642,3595.55263157895,89804246,13216,"female_Old"
"18_45_M","18m",18,"Old","male","Limb_Muscle","mesenchymal stem cell","forelimb and hindlimb","Forelimb_Hindlimb","CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",31,3074759,3484487.87096774,2211,2232.77419354839,108019124,11115,"male_Old"
"18_53_M","18m",18,"Old","male","Limb_Muscle","mesenchymal stem cell","Muscle forelimb and hindlimb","Forelimb_Hindlimb","CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",45,911555,1945282.08888889,2887,2845.82222222222,87537694,12432,"male_Old"
"24_58_M","24m",24,"Old","male","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",79,1524903,1672924.58227848,1482,1506.86075949367,132161042,11177,"male_Old"
"24_59_M","24m",24,"Old","male","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",68,668415.5,2374418.95588235,1388,1401.01470588235,161460489,10615,"male_Old"
"24_60_M","24m",24,"Old","male","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",91,1195174,1277973.69230769,1396,1354.76923076923,116295606,11216,"male_Old"
"24_61_M","24m",24,"Old","male","Limb_Muscle","mesenchymal stem cell","ForelimbandHindlimb","Forelimb_Hindlimb","CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",79,1196135,1281398.12658228,1531,1567.07594936709,101230452,11634,"male_Old"
