"model","signature_rank","inner_selection_frequency","gene","age_only_logFC","age_only_t","female_logFC","male_logFC","common_logFC","common_t","interaction_logFC","sex_linked_flag","female_direction","male_direction","common_direction","age_only_direction","sex_direction_concordant","age_only_common_concordant","interaction_ratio","interaction_penalty","reliability_pass","module","weight","rank_score","training_mean","training_sd"
"M1_raw_all_gene_denominator",1,1,"Scml4",-7.92900716733324,-6.02711123949426,-9.05918605442661,-7.55987517287401,-8.30953061365031,-5.74587413179717,1.4993108815526,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.090216334775475,0.917249144139769,TRUE,"young_high",43.7945346050818,43.7945346050818,0.985203373515967,1.41316041787954
"M1_raw_all_gene_denominator",2,0.928571428571429,"Plcb1",-8.44648698530266,-6.90736677570058,-6.52103743699229,-9.22183223891904,-7.87143483795566,-5.4704935568474,-2.70079480192675,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.171556691122371,0.853565181759991,TRUE,"young_high",36.7550575149102,36.7550575149102,1.51661073028497,1.78462845737782
"M1_raw_all_gene_denominator",3,1,"Gm16515",-8.10216265866713,-4.92271906257689,-9.9566862839517,-6.83620594965665,-8.39644611680418,-5.11147359566473,3.12048033429505,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.185821483581513,0.843297253292899,TRUE,"young_high",36.1928108216097,36.1928108216097,1.21418544289586,1.55044290205441
"M1_raw_all_gene_denominator",4,1,"A630033H20Rik",-7.74704167256497,-4.93183097585513,-9.82246730458796,-6.74651712504282,-8.28449221481539,-5.1427300284119,3.07595017954515,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.185645053078768,0.843422740560758,TRUE,"young_high",35.9339473248283,35.9339473248283,1.03629403344609,1.54398325120386
"M1_raw_all_gene_denominator",5,1,"Dgkb",-7.79821201421062,-5.40128195032101,-7.30043543994625,-8.11707177952126,-7.70875360973376,-4.77778118722376,-0.816636339575006,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.0529681144287537,0.94969637379999,TRUE,"young_high",34.9780182978382,34.9780182978382,0.717370726972195,1.25332058539031
"M1_raw_all_gene_denominator",6,1,"Olfr267",-7.06127870981258,-4.58237317141668,-10.0228159511958,-5.26486021670883,-7.64383808395232,-5.55034311265166,4.75795573448699,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.311228166465732,0.762643775945866,TRUE,"young_high",32.355866925772,32.355866925772,0.580356572569468,1.09974786328123
"M1_raw_all_gene_denominator",7,1,"Tbck",-7.26591643461308,-4.40379345726515,-10.7750346771537,-5.59205589533633,-8.18354528624504,-5.06549630319162,5.18297878181742,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.316670726675044,0.759491328956083,TRUE,"young_high",31.4837396735914,31.4837396735914,1.22999672246707,1.45682908887369
"M1_raw_all_gene_denominator",8,0.928571428571429,"Fam132b",-8.39978262025864,-4.17223843155687,-6.50753189252191,-10.3167629232445,-8.41214740788323,-4.02497302188171,-3.80923103072263,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.226412509173365,0.815386334141379,TRUE,"young_high",27.6078938526514,27.6078938526514,1.5648345088224,2.65633866525885
"M1_raw_all_gene_denominator",9,1,"Chml",-6.42882456274318,-4.04883034458793,-8.12096493948698,-6.36463681644908,-7.24280087796803,-4.16709894382364,1.7563281230379,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.121246464688408,0.891864573484206,TRUE,"young_high",26.917781985866,26.917781985866,1.82504244639985,1.75641614569237
"M1_raw_all_gene_denominator",10,0.928571428571429,"Tmem132c",-6.54657622640349,-3.66718500066264,-6.94898270724338,-7.05807124248105,-7.00352697486221,-3.59232519806891,-0.109088535237662,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.00778811360626584,0.992272072372042,TRUE,"young_high",24.9645199099681,24.9645199099681,1.17066711522592,1.41623677979692
